Аария Лайфсайнсиз Пвт. Лтд., Индия
"Аббви С.р.л. для ""Аббот Лабораториз С.А."", Италия/Швейцария"
Аббот Лабораториз С.А., Испания/Швейцария
Аббот Лабораториз, США/Швейцария
Аббот С.р.Л., Италия/Швейцария
Абботт Биолоджикалз Б.В., Нидерланды
Абботт ГмбХ и Ко. КГ, Германия/Швейцария
Абботт Джепен Ко. Лтд, Япония/Швейцария
Абботт Продактс ГмбХ, Германия
Абботт Хелскеа САС, Франция
Абботт Хелскеа САС, Франция/Германия
Абботт Хелскеа САС, Франция/Германия/Нидерланды
Абботт Хелскеа САС, Франция/Нидерланды
Абботт Хелскеа САС/ Фармстандарт - Томскхимфарм, ОАО, Франция/Россия
"Абди Ибрахим Илач Санаи ве Тиджарет А.Ш. для ""Дельта Медикел Промоушинз АГ"", Турция/Швейцария"
Абди Ибрахим Илач Санаи ве Тиджарет А.Ш., Турция
АБОЛмед, ООО, г.Москва, Российская Федерация
Абрил Формулейшнз Пвт. Лтд, Индия
Абурайхан Фарма, Иран
"Авант, ООО для ""Стелекс, ООО"", г.Киев, Украина"
Авант, ООО, г.Киев, Украина
АВВА РУС, ОАО, Российская Федерация
АВД. Фарма ГмбХ и Ко КГ, Германия
"Авентис Фарма Дагенхем/Санофи Авентис Дойчланд для ""Санофи-Авентис Украина, ООО"", Германия/Украина"
Авентис Фарма Лтд, Индия
Аверси-Рационал, ООО, Грузия
Аветра, ООО, г.Ужгород, Украина
АВС Фармачеутичи С.п.А., Италия
"Австралиан Фармацевтикалз Манюфекчерерз Пти Лтд для ""Нкафарма Фарма"", Австралия"
"Агила Спешиэлтиз Полска Сп.Зо.о для ""Алвоген ИПКо С.ар.л."", Испания/Люксембург"
Аглоумед Лтд., Индия
"Агон Фарма ГмбХ для ""Ратиофарм Интернешнл ГмбХ"", Германия"
Агрофарм, ООО, Киевская обл. г.Ирпинь, Украина
"Агрофирма ""Ян"", ДП, с.Немиринцы, Ружинский р-н, Житомирская обл."
Адамед, ООО, Польша
Адвансд Ремидес, Индия
Аджанта Фарма Лтд., Индия
"Аджила Спесиалтис Пвт. Лтд. для ""ААР Фарма Лтд"", Индия/Соединенное Королевство"
"Аджила Спесиалтис Пвт. Лтд. для ""Страйдс Сиайес Лтд"", Индия/Кипр"
Аджио Фармасьютикалс Лтд., Индия
Адифарм ЭАТ, Болгария
Адонис, ООО, г.Киев, Украина
Азиенде Кимике Риуните Анжелини Франческо А.К.Р.А., Италия
"АйПиЭр Фармасьютикалс Инк. для ""АстраЗенека ЮК Лтд"", Пуэрто-Рико/Великобритания"
Ай-Си-Эн Польфа Жешув АО, Польша
АйСиЭн Фармасьютикалз, Швейцария
Акела-Н, ООО, Российская Федерация
Акрихин, ХФК, ОАО, Российская Федерация
Акселлус А/С, Дания
"Актавис Итали С.п.А. для ""Тева Фармацевтикал Индастриз"", Италия/Израиль"
"Актавис Италия С.п.А. для ""Пфайзер Инк"", Италия/США"
Актавис Италия С.п.А., Италия/Исландия
"Актавис Лтд для ""Медокеми Лтд"", Исландия/Кипр"
"Актавис Лтд для ""Профарма Интернешнл Трейдинг Лтд"", Мальта"
"Актавис Лтд/Балканфарма-Дупница АД для ""Профарма Интернешнл Трейдинг Лтд"", Болгария/Исландия/Мальта"
Актавис Лтд/Балканфарма-Дупница АО, Болгария/Исландия
"Актавис эхф. для ""Фармлига, ЗАО"", Исландия/Литовская Республика"
"Акумс Драгс для ""Биотавия Фарм Лтд"", Индия"
"Акумс Драгс энд Фармасьютикалс Лтд для ""М. Биотек Лтд."" Индия/Большая Британия"
"Акумс Драгс энд Фармасьютикалс Лтд для ""Мили Хелскере Лтд"", Индия/Большая Британия"
"Акумс Драгс энд Фармасьютикалс Лтд для ""Ротек Лтд."" Индия/Большая Британия"
Алдрик Кемикал Компани Инк., США
Алембик Фармасьютикелс Лтд, Индия
Алза Корпорейшн, США
"Алкала Фарма, С.Л. для ""Сперко Украина, СУИП"", Испания/Украина"
Алкалоид АД - Скопье, Республика Македония
"Алкалоида Кемикал Компани ЗАО для ""Ай-Си-Эн Польфа Жешув АО"", Венгрия/Польша"
Алкем Лабораториз Лтд, Индия
Алкон - Куврер, Бельгия
"Алкон - Куврьор для ""Алкон Лабораториз (ОК) Лтд"", Бельгия/Великобритания"
"Алкон - Куврьор для ""Алкон Лабораториз, Инк"", Бельгия/США"
Алкон Кузи С.А., Испания
"Алкон Парентералc Лтд. для ""Аджио Фармасьютикалс"", Индия"
"Алкон Парентералз Лтд. для ""ФДС Лтд.""/""Конарк ООО"", Индия/Украина"
"Алкон Парентералс (I) Лтд для ""Гринлайф Боисайенсиз Пвт. Лтд"", Индия/Гонконг"
"Алкон Парентералс (I) Лтд для ""Уэлш Трейд Лтд"", Индия/Гонконг"
"Алкон Парентералс Лтд для ""Америкен Нортон Корп."", Индия/США"
"Алкон Парентералс Лтд для ""Скан Биотек Лтд"", Индия"
"Алкон Парентералс Лтд для ""Юнитек Инк. Лтд."", Индия/Гонконг"
"Алкон Ресеч, Лтд для ""Алкон Лабораториз Инк."" США"
Аллаид Хемикал, Индия
Аллерган Сейлс ЛЛС, США
Аллерган Фармасьютикалз, Ирландия
Алмед ГмбХ, Германия
"Алпекс Фарма СА для заявителя ""Мови Хелс ГмбХ"", Швейцария"
Алтана Фарма АГ, Германия
"Алтана Фарма сп. з o.o. для ""Шварц Фарма"", Польша"
Альтер С.А., Испания
Альтфарм, ООО, Российская Федерация
Альфа Вассерманн С.п.А., Италия
Аль-Хикма Фармасьютикалз, Иордания
Амарег ГмбХ, Германия
Амджен Европа Б.В., Нидерланды
"Амджен Мануфекчуринг Лтд для ""ГлаксоСмитКляйн"", Пуэрто-Рико, США/Большая Британия"
Амеда Фарма Пвт. Лтд., Индия
Амоун Фармасьютикал Ко, Египет
"Амрия Фармасьютикал Индастриз для ""Фарко"", Египет"
Англо-Френч Драгс, Индия
Анжелини Франческо С.п.А, Италия
Антибиотик АО, Румыния
"Антибиотиче А.Т. для ""ФармХолдинг, ООО"", Румыния/Украина"
Антивирал, ЗАО НПО, Российская Федерация
"Антон Хюбнер, ГмбХ для ""Медофар Арцнаймиттель ГмбХ "", Германия"
"Анфарм Хеллас С.А. для ""Актавис групп АО"", Греция/Исландия"
"Анфарм Хеллас С.А. для ""Вокате С.А."", Греция"
"Анфарм Эллас С.А. для ""Гранд Медикал Групп АГ"", Греция/Швейцария"
"Апотек Продакшн & Леборетриер АБ для ""Свидиш Орфан Биовитрум Интернешенел АБ"", Швеция"
Апотекс Инк., Канада
"Апталис Фарма С.Р.Л. для ""Такеда ГмбХ"", Италия/США/Германия"
"Аптека Хотц Кюснахт АГ для ""Галефарм АГ"", Швейцария"
"Ардейфарм ГмбХ для ""Мега Лайфсайенсиз (Австралия) Пти Лтд"", Германия/Австралия"
Ардейфарм ГмбХ, Германия
Арианда, НПП, ООО, Украина
Аристофарма Лтд, Бангладеш
Арменикум+, ЗАО, Армения
Арника, ООО, г.Харьков, Украина
АрПиДжи Лайф Саенсез Лтд, для Мили Хелскер Лтд, Индия/Великобритания
Арпимед, СП, АОЗТ, Армения
Артезан Фарма ГмбХ и Ко. КГ, Германия
Аспен Бад Олдесло ГмбХ для ГлаксоВеллком, Германия
Астеллас Ирланд Ко., Лтд, Ирландия/Нидерланды
Астеллас Фарма Юроп Б.В., Нидерланды
АстраЗенека АБ, Швеция
АстраЗенека Лтд, Великобритания
"Астрафарм, ООО для ""Украинская фармацевтическая компания, ООО"", г.Киев, Украина"
Астрафарм, ООО, г.Вишневое , Киево-Святошинский р-н, Украина
Атриум Инновейшенс Инк., Канада
Ауробиндо Фарма Лтд. (Юнит III), Индия
Ауробиндо Фарма Лтд. (Юнит VII), Индия
"Ауробиндо Фарма Лтд. для ""Абрил Формулейшнз Пвт. Лтд."", Индия"
"Ауробиндо Фарма Лтд. для ""Аринга, ЗАО"", Индия/Литва"
"Ауробиндо Фарма Лтд. для ""Пфайзер Эйч. Си. Пи Корпорейшн"", Индия/США"
Ауробиндо Фарма Лтд., Индия
Аурохем Лабораториз Пвт. Лтд, Индия
"Аэсика Квинборо Лтд для ""Аббот Лабораториз С.А."", Великобритания/Швейцария"
Б. Браун Медицинтехнолоджи ГмбХ, Германия
Б. Браун Мельзунген АГ, Германия
Б.Браун Медикал СА/Б.Браун Мельзунген АГ, Швейцария/Германия
Байер Биттерфельд ГмбХ, Германия/Швейцария
"Байер Ваймар ГмбХ и Ко. КГ для ""Байер Фарма АГ"", Германия"
Байер Консьюмер Кер АГ, Швейцария
Байер Оу, Финляндия
Байер Санте Фамильяль/Байер Консьюмер Кер АГ, Франция/Швейцария
Байер Фарма АГ, Германия
Байер Хелскер АГ, Германия
Байер Хелскер, ЛЛС, США
Байер Шеринг Фарма АГ, Германия
"Байодженикс Лтд. для ""Ротек Лтд"", Индия/Великобритания"
Бакстер АГ, Австрия
Бакстер Онколоджи ГмбХ, Германия
Бакстер С.А., Бельгия
"Бакстер Фармасьютикал Солюшинз для ""Джонсон & Джонсон, ООО"", США/Швейцария/Российская Федерация"
"Бакстер Хелскеа Корпорейшн для ""Бакстер АГ"", США/Австрия"
Бакстер Хелскеа Корпорейшн, США/ Бельгия
Бакстер Хелскеа Лтд, Великорбритания
Бакстер Хелскеа С.А., Ирландия
