"Алкалоида Кемикал Компани ЗАО для ""Ай-Си-Эн Польфа Жешув АО"""
Береш Фарма, ЗАО
Биогал АО, Фармацевтический завод (ТЕВАГрупп)
"Гаупт Фарма Вольфратсхаузен ГмбХ для ""Эгис, ФЗ, ОАО"""
Гедеон Рихтер, АО
Гедеон Рихтер, ОАО
Гедеон Рихтер, ОАО/ Алмирал АГ
Гедеон Рихтер, ООО
Меркле ГмбХ
"Нич Дженерикз Лтд. для ""Гедеон Рихтер, ОАО"""
"Онкотек Фарма Продукцион ГмбХ, для ""Эгис, ФЗ, ОАО"""
Реанал
ТЕВА Фармацевтикал Индастриз Лтд./ТЕВА ФЗ, АО
ТЕВА Фармацевтический завод, АО
ТЕВА Фармацевтический завод, АО
"Терамекс для ""Эгис"""
"Хиноин, ЗФХП для ""Санофи-Авентис Украина, ООО"""
