Абботт Хелскеа САС/ Фармстандарт - Томскхимфарм, ОАО
АБОЛмед, ООО
АВВА РУС, ОАО
Акела-Н, ООО
Акрихин, ХФК, ОАО
Альтфарм, ООО
Антивирал, ЗАО НПО
"Бакстер Фармасьютикал Солюшинз для ""Джонсон & Джонсон, ООО"""
Биокад, ЗАО
Бионокс, НПП ООО, г.Москва
Биосинтез, ОАО, г.Пенза
Биотики, МНПК, ООО
Бринцалов-А, ЗАО
"Валента Фармацевтика, ОАО для ""Нижфарм, ОАО"""
Валента Фармацевтика, ОАО, г.Щолково
Ватхем-Фармация, ООО
"Вектор-Медика, ЗАО для ""Ядран-Галенская Лаб. д.д"""
Верофарм, ОАО
Вилар, Фармцентр, ЗАО
Випс-Мед, ООО
Вифитех, ЗАО
Гедеон Рихтер - РУС, ЗАО
"Гематологический НЦ, МОЗСР, ФГБУ для ""Институт Стволовых Клеток Человека, ОАО"""
Герофарм, ООО
ГНИИ особо чистых биопрепаратов, ФГУП
"Государственный завод медицинских препаратов, ФГУП для ""Экофарминвест, ООО"""
Дальхимфарм, ОАО
Джонсон & Джонсон, ООО
Диафарм, Институт молекулярной диагностики, ЗАО
"ЗИО- Здоровье, ЗАО, для ""Фармасофт, НПК, ООО"""
Константа - Фарм М, ООО
Красногорсклексредства, ОАО
Красфарма, ОАО, г.Красноярск
КРКА-РУС, ООО
Ланафарм, ООО
Лекко, ФФ, ЗАО
ЛЭНС-Фарм, ООО
"Макиз-Фарма, ЗАО для ""Нижфарм, ОАО"""
Медгамал, НИИЭМ им. Н.Ф. Гамалеи РАМН
Медикор, Центр Современной Медицины, ЗАО
Медицинский газовый сервис, ТД, ООО
Микроген, НПО, ФГУП
"Московский эндокринный завод, ФГУП для ""Нижфарм, ОАО"""
Московский эндокринный завод, ФГУП
Мосхимфармпрепараты, ОАО, им. Н.А.Семашко
Национальные биотехнологии, ОАО
Ниармедик Плюс, ООО
Нижфарм, ОАО
"Новентис с.р.о. для "" ФармВИЛАР, ФПК, ЗАО"""
Новодез, ОАО НПО
Новосибхимфарм, ОАО
"Обнинская ХФК, ЗАО для ""Мир-Фарм, ООО"""
"Обнинская ХФК, ЗАО для ""Московский эндокринный завод, ФГУП"""
"Обнинская ХФК, ЗАО для ""Нижфарм, ОАО"""
Оболенское, ФП, ЗАО
Озон, ООО
Олифен, Корпорация, ЗАО
Органика, ОАО
Партнер, ЗАО
Пептек, ЗАО
Пептоген, ИНПЦ, ЗАО
Перфторан, ОАО НПФ
Петровакс Фарм, НПО, ООО
Петроспирт, ЗАО
ПИК-ФАРМА ПРО, ООО
"Плива Хрватска д.о.о., для ""Тева, ООО"""
Полисан, НТФФ, ООО
Росбио, ООО
"Российский кардиологический НПК Росздрава, ФГУ для ""Нижфарм, ОАО"""
Российский кардиологический НПК Росздрава, ФГУ
Русичи-Фарма, ООО
Сайнтек, ЗАО
Санкт-Петербургский НИИВС, ФГУП
"Силаг АГ для ""Джонсон & Джонсон"""
Синтез, ОАО
Сотекс, ФФ ЗАО
Талион-А, ООО
Татхимфармпрепараты, ОАО
Техномедсервис, ЗАО ФП
Технопарк-Центр, ООО
ФАРМА ВАМ, ЗАО
Фармаклон, НПП, ООО
Фармакон, ОАО
Фармапарк, ООО
Фармапол-Волга, ООО
Фармасинтез, ОАО
Фарм-Синтез, ЗАО
Фармсинтез, ОАО 
Фармстандарт-Лексредства, ОАО
Фармстандарт-Октябрь, ОАО
Фармстандарт-Томскхимфарм, ОАО
Фармстандарт-УфаВИТА, ОАО
Фармстандарт-УфаВИТА, ОАО
Фермент, ООО
Ферон, ООО
Фирн М, ЗАО
Химический завод им. Л. Я. Карпова, ОАО
Химреактивкомплект, Завод, ОАО
Цитомед, МБНПК, ЗАО
