КОД;;;Цена;Описание
23124;Бокал 1000мл пиво Горох;Бокал 1000мл пиво Горох - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 1000мл пиво Горох - Стекло (Украина) - Бокалы, фужеры,рюмки; 
60;Бокал 606 для вина 180мл;Бокал 606 для вина 180мл - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 606 для вина 180мл - Стекло (Украина) - Бокалы, фужеры,рюмки; 
1848;Бокал 609 для коктейля 500мл;Бокал 609 для коктейля 500мл - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 609 для коктейля 500мл - Стекло (Украина) - Бокалы, фужеры,рюмки; 
70;Бокал 628 для шампанского 240мл;Бокал 628 для шампанского 240мл - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 628 для шампанского 240мл - Стекло (Украина) - Бокалы, фужеры,рюмки; 
815;Бокал 692 вино 200мл;Бокал 692 вино 200мл - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 692 вино 200мл - Стекло (Украина) - Бокалы, фужеры,рюмки; 
68;Бокал 693 коньяк 250мл;Бокал 693 коньяк 250мл - Стекло (Украина) - Бокалы, фужеры,рюмки;Бокал 693 коньяк 250мл - Стекло (Украина) - Бокалы, фужеры,рюмки; 
94;Кухоль 411;Кухоль 411 - Стекло (Украина) - Бокалы, фужеры,рюмки;Кухоль 411 - Стекло (Украина) - Бокалы, фужеры,рюмки; 
96;Кухоль 411мк;Кухоль 411мк - Стекло (Украина) - Бокалы, фужеры,рюмки;Кухоль 411мк - Стекло (Украина) - Бокалы, фужеры,рюмки; 
107;Рюмка 505;Рюмка 505 - Стекло (Украина) - Бокалы, фужеры,рюмки;Рюмка 505 - Стекло (Украина) - Бокалы, фужеры,рюмки; 
16363;Рюмка 50мл водка-охота Кристалл (6шт);Рюмка 50мл водка-охота Кристалл (6шт) - Стекло (Украина) - Бокалы, фужеры,рюмки;Рюмка 50мл водка-охота Кристалл (6шт) - Стекло (Украина) - Бокалы, фужеры,рюмки; 
114;Рюмка 561/1;Рюмка 561/1 - Стекло (Украина) - Бокалы, фужеры,рюмки;Рюмка 561/1 - Стекло (Украина) - Бокалы, фужеры,рюмки; 
11124;Фужер 760/1;Фужер 760/1 - Стекло (Украина) - Бокалы, фужеры,рюмки;Фужер 760/1 - Стекло (Украина) - Бокалы, фужеры,рюмки; 
1256;Розетка;Розетка - Стекло (Украина) - Стаканы;Розетка - Стекло (Украина) - Стаканы; 
2762;"Салатник ""декор""";"Салатник ""декор"" - Стекло (Украина) - Стаканы";"Салатник ""декор"" - Стекло (Украина) - Стаканы"; 
1244;Стакан 104;Стакан 104 - Стекло (Украина) - Стаканы;Стакан 104 - Стекло (Украина) - Стаканы; 
4;Стакан 123;Стакан 123 - Стекло (Украина) - Стаканы;Стакан 123 - Стекло (Украина) - Стаканы; 
138;Стакан 170;Стакан 170 - Стекло (Украина) - Стаканы;Стакан 170 - Стекло (Украина) - Стаканы; 
